"My Orders","My Orders"
"You have placed no orders.","You have placed no orders."
Back,Back
Delete,Delete
"Do you want to delete this company permanently? Company data and related sub-accounts will be deleted.","Do you want to delete this hotel permanently? Hotel data and related sub-accounts will be deleted."
Reset,Reset
Save,Save
"Save and Continue Edit","Save and Continue Edit"
Approve,Approve
Reject,Reject
Enable,Enable
Required,Required
"Allow Access to Companies","Allow Access to Companies"
YES,YES
NO,NO
"Set to Yes and users with this user role will see only the data which they are assigned to","Set to Yes and users with this user role will see only the data which they are assigned to"
"Page not found.","Page not found."
"New Company Administrator change request has been approved.","New Hotel Administrator change request has been approved."
"Something went wrong while approving new Company Administrator request.","Something went wrong while approving new Hotel Administrator request."
"A Company Administrator change request has been declined.","A Hotel Administrator change request has been declined."
"Something went wrong while declining new Company Administrator request.","Something went wrong while declining new Hotel Administrator request."
"The company and its users were successfully deleted.","The hotel and its users were successfully deleted."
"Something went wrong while deleting the company.","Something went wrong while deleting the hotel."
Success,Success
"This company does not exist.","This hotel does not exist."
"Edit ""%1"" company","Edit ""%1"" hotel"
"New Company","New Hotel"
Companies,Companies
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"No records have been updated.","No records have been updated."
"The company was successfully saved.","The hotel was successfully saved."
"Something went wrong while saving the company.","Something went wrong while saving the hotel."
"New Company Administrator has been successfully selected.","New Hotel Administrator has been successfully selected."
"Something went wrong while selecting new Company Administrator.","Something went wrong while selecting new Hotel Administrator."
"The order has been successfully approved","The order has been successfully approved"
"Something went wrong while approving the order","Something went wrong while approving the order"
"The order has been rejected","The order has been rejected"
"Something went wrong while rejecting the order","Something went wrong while rejecting the order"
"This role does not exist.","This role does not exist."
"Edit ""%1"" role","Edit ""%1"" role"
"New Role","New Role"
"The role was successfully saved.","The role was successfully saved."
"Something went wrong while saving the role.","Something went wrong while saving the role."
"Email is required","Email is required"
"Company Information","Hotel Information"
"The company information was accepted for moderation. We will contact you shortly.","The hotel information was accepted for moderation. We will contact you shortly."
"Something went wrong when saving company.","Something went wrong when saving hotel."
"New Company Administrator has been sent for approval","New Hotel Administrator has been sent for approval"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"History Log","History Log"
"Edit Role %1","Edit Role %1"
Roles,Roles
"The Role was saved successfully.","The Role was saved successfully."
"Something went wrong while save the role.","Something went wrong while save the role."
"The user status can't be changed.","The user status can't be changed."
"The user status has been changed.","The user status has been changed."
"Edit User %1","Edit User %1"
"New User","New User"
"Import Users","Import Users"
"Data validation failed. Please fix the following errors and upload the file again:","Data validation failed. Please fix the following errors and upload the file again:"
"Some records are not imported. The following errors appear while data importing:","Some records are not imported. The following errors appear while data importing:"
"Import has been completed","Import has been completed"
"Company Users","Hotel Users"
"The user was successfully saved.","The user was successfully saved."
"Something went wrong when saving user.","Something went wrong when saving user."
"User doesn't belong to any company","User doesn't belong to any hotel"
"User doesn't belong to current company","User doesn't belong to current hotel"
"There is a new Company Administrator waiting for approval","There is a new Hotel Administrator waiting for approval"
"Current user is not a company admin","Current user is not a hotel admin"
"The shared list of admin addresses has the same status","The shared list of admin addresses has the same status"
"Label is required.","Label is required."
"This account is blocked.","This account is blocked."
"This account is not approved yet by company admin.","This account is not approved yet by hotel admin."
"Provided user is registered on different website","Provided user is registered on different website"
"Provided argument must implement %1","Provided argument must implement %1"
"The admin user status can't be changed.","The admin user status can't be changed."
"This domain address is incorrect","This domain address is incorrect"
"This domain address can't be used","This domain address can't be used"
"This domain already exists","This domain already exists"
"The company email is already registered.","The hotel email is already registered."
"Status is not correct for Company.","Status is not correct for Hotel."
"Email metadata modifier must implement %1","Email metadata modifier must implement %1"
"Unknown email metadata modifier for notification: %1 requested","Unknown email metadata modifier for notification: %1 requested"
title,title
"Given filter name ""%1"" is not present in collection.","Given filter name ""%1"" is not present in collection."
"There is no frontend input specified for filter ""%1"".","There is no frontend input specified for filter ""%1""."
"Filter handler must be instance of ""%interface""","Filter handler must be instance of ""%interface"""
"No filter processor for ""%type"" given.","No filter processor for ""%type"" given."
"The file was not uploaded.","The file was not uploaded."
"The file cannot be uploaded.","The file cannot be uploaded."
"The file you uploaded has no extension.","The file you uploaded has no extension."
"The source file moving process failed.","The source file moving process failed."
"%1 via Admin Panel","%1 via Admin Panel"
"%1 By API","%1 By API"
"Deleted Company User","Deleted Hotel User"
"New Domain %1","New Domain %1"
"Updated Domain %1","Updated Domain %1"
"Updated Company","Updated Hotel"
"New Company User","New Hotel User"
"Updated Company User","Updated Hotel User"
"New Role %1","New Role %1"
"Updated Role %1","Updated Role %1"
Add/Update,Add/Update
"New company data is added to the existing companies (mapping by company ID) or creates completely new companies.","New hotel data is added to the existing companies (mapping by hotel ID) or creates completely new companies."
"There is no command registered for behavior ""%1"".","There is no command registered for behavior ""%1""."
"An error has occurred in company with email ""%1"", company admin email ""%2"", error message: ""%3""","An error has occurred in hotel with email ""%1"", hotel admin email ""%2"", error message: ""%3"""
"Missing required column ""%1""","Missing required column ""%1"""
"Import row converter must implement %1.","Import row converter must implement %1."
"There is no file: %file","There is no file: %file"
"An error occurred while importing user with email ""%1"": %2","An error occurred while importing user with email ""%1"": %2"
"This file does not contain any data.","This file does not contain any data."
"in row(s)","in row(s)"
"The following required columns are missing: %1","The following required columns are missing: %1"
"Current company user is undefined","Current hotel user is undefined"
"Company role ID column is empty","Hotel role ID column is empty"
"Provided company_role_id: ""%1"" doesn't belong to this company","Provided company_role_id: ""%1"" doesn't belong to this hotel"
"Import row validator must implement %1.","Import row validator must implement %1."
label,label
"Cannot get autoincrement value","Cannot get autoincrement value"
"Order was sent for approval to company admin","Order was sent for approval to hotel admin"
"The order was approved","The order was approved"
"The order was rejected","The order was rejected"
"Order approval is already applied for order: %1","Order approval is already applied for order: %1"
"Order: %1 cannot be approved at the moment","Order: %1 cannot be approved at the moment"
